,Код магазину,Дата,Місяць,Кількість реалізацій,Собівартість одиниці,Ціна реалізації,Регіон
0,101462,2021-01-02,Січень,1,116.2402,144.4955846936045,Центральний
1,101462,2021-01-03,Січень,3,89.2253,101.87672821336189,Центральний
2,101462,2021-01-04,Січень,5,105.76222,127.36954776558738,Центральний
3,101462,2021-01-05,Січень,-1,192.977,246.1814289537062,Центральний
4,101462,2021-01-06,Січень,3,58.955999999999996,57.08143787351708,Центральний
5,101462,2021-01-08,Січень,5,85.9168,88.58259510161542,Центральний
6,101462,2021-01-10,Січень,3,118.8282,127.20414898632721,Центральний
7,101462,2021-01-13,Січень,6,47.07978333333333,49.12847111957941,Центральний
8,101462,2021-01-14,Січень,1,56.02,67.01724537932101,Центральний
9,101462,2021-01-15,Січень,4,52.481825,49.121061359867326,Центральний
10,101462,2021-01-16,Січень,3,72.9147,66.63333249997916,Центральний
11,101462,2021-01-17,Січень,1,93.5223,98.02710585006005,Центральний
12,101462,2021-01-18,Січень,3,94.024,109.46417338594385,Центральний
13,101462,2021-01-20,Січень,1,75.945,48.53294503094285,Центральний
14,101462,2021-01-21,Січень,1,56.02,60.15966678236723,Центральний
15,101462,2021-01-22,Січень,5,80.98106,80.723739791608,Центральний
16,101462,2021-01-23,Січень,3,99.03593333333333,102.48440337992577,Центральний
17,101462,2021-01-24,Січень,1,66.7247,57.3574435514734,Центральний
18,101462,2021-01-25,Січень,3,72.8208,73.3177063400944,Центральний
19,101462,2021-01-26,Січень,1,100.4354,114.80577879831611,Центральний
20,101462,2021-01-27,Січень,1,41.0083,38.825385268778064,Центральний
21,101462,2021-01-28,Січень,1,80.1879,62.63582177292287,Центральний
22,101462,2021-01-31,Січень,1,47.7228,47.33475479744136,Центральний
23,101462,2021-02-01,Лютий,3,57.0,61.09206349206349,Центральний
24,101462,2021-02-02,Лютий,4,67.5,70.81785714285715,Центральний
25,101462,2021-02-05,Лютий,1,79.0,72.68181818181819,Центральний
26,101462,2021-02-06,Лютий,6,64.16666666666667,50.864,Центральний
27,101462,2021-02-07,Лютий,4,121.25,113.987,Центральний
28,101462,2021-02-08,Лютий,2,83.0,76.97800000000001,Центральний
29,101462,2021-02-09,Лютий,2,165.5,106.016,Центральний
30,101462,2021-02-10,Лютий,1,53.0,39.996,Центральний
31,101462,2021-02-11,Лютий,2,67.5,51.016000000000005,Центральний
32,101462,2021-02-12,Лютий,58,50.94827586206897,41.45935013262599,Центральний
33,101462,2021-02-13,Лютий,11,45.90909090909091,38.604195804195804,Центральний
34,101462,2021-02-14,Лютий,3,71.0,66.01025641025642,Центральний
35,101462,2021-02-15,Лютий,3,90.33333333333333,96.15000000000002,Центральний
36,101462,2021-02-16,Лютий,4,119.0,98.56346153846154,Центральний
37,101462,2021-02-17,Лютий,2,52.0,55.76538461538462,Центральний
38,101462,2021-02-19,Лютий,3,77.66666666666667,75.29382716049383,Центральний
39,101462,2021-02-20,Лютий,5,56.6,45.88888888888889,Центральний
40,101462,2021-02-21,Лютий,2,84.5,87.23793103448276,Центральний
41,101462,2021-02-22,Лютий,5,96.4,93.51379310344828,Центральний
42,101462,2021-02-23,Лютий,2,95.5,107.39482758620689,Центральний
43,101462,2021-02-24,Лютий,2,52.5,61.090625,Центральний
44,101462,2021-02-25,Лютий,5,87.2,86.6030303030303,Центральний
45,101462,2021-02-27,Лютий,1,69.0,87.1939393939394,Центральний
46,101462,2021-02-28,Лютий,4,89.0,94.91333333333334,Центральний
47,101462,2021-03-01,Березень,2,55.5,61.66333333333334,Центральний
48,101462,2021-03-02,Березень,2,62.5,73.33,Центральний
49,101462,2021-03-03,Березень,2,56.0,62.95925925925926,Центральний
50,101462,2021-03-05,Березень,-1,79.0,147.8217391304348,Центральний
51,101462,2021-03-06,Березень,1,57.0,69.5608695652174,Центральний
52,101462,2021-03-07,Березень,2,58.0,71.73478260869567,Центральний
53,101462,2021-03-08,Березень,2,105.5,139.12608695652173,Центральний
54,101462,2021-03-09,Березень,2,56.0,78.25652173913045,Центральний
55,101462,2021-03-11,Березень,3,40.0,43.47391304347826,Центральний
56,101462,2021-03-12,Березень,1,54.0,90.47142857142858,Центральний
57,101462,2021-03-13,Березень,1,40.0,52.37619047619047,Центральний
58,101462,2021-03-14,Березень,2,68.0,107.13809523809525,Центральний
59,101462,2021-03-15,Березень,2,67.5,97.61428571428573,Центральний
60,101462,2021-03-16,Березень,1,54.0,85.70952380952382,Центральний
61,101462,2021-03-17,Березень,2,56.5,76.18571428571428,Центральний
62,101462,2021-03-19,Березень,1,56.0,69.5608695652174,Центральний
63,101462,2021-03-21,Березень,1,60.0,73.90869565217392,Центральний
64,101462,2021-03-22,Березень,3,69.33333333333333,94.19855072463768,Центральний
65,101462,2021-03-27,Березень,1,47.0,77.3,Центральний
66,101462,2021-03-28,Березень,4,54.0,83.88695652173914,Центральний
67,101462,2021-03-29,Березень,2,57.5,95.1695652173913,Центральний
68,101462,2021-03-31,Березень,1,51.0,76.51739130434783,Центральний
69,101462,2021-04-04,Квітень,2,88.0,95.1695652173913,Центральний
70,101462,2021-04-05,Квітень,3,84.0,98.5463768115942,Центральний
71,101462,2021-04-06,Квітень,1,68.0,77.3,Центральний
72,101462,2021-04-07,Квітень,1,55.0,76.51739130434783,Центральний
73,101462,2021-04-08,Квітень,1,89.0,108.69130434782609,Центральний
74,101462,2021-04-09,Квітень,1,68.0,77.3,Центральний
75,101462,2021-04-10,Квітень,2,60.0,64.73478260869565,Центральний
76,101462,2021-04-11,Квітень,3,88.33333333333333,99.6768115942029,Центральний
77,101462,2021-04-14,Квітень,3,67.66666666666667,80.76376811594203,Центральний
78,101462,2021-04-16,Квітень,2,53.5,68.17727272727274,Центральний
79,101462,2021-04-18,Квітень,4,74.5,97.66428571428571,Центральний
80,101462,2021-04-19,Квітень,1,68.0,84.61904761904762,Центральний
81,101462,2021-04-20,Квітень,3,87.0,117.93174603174604,Центральний
